id;name;serial_number;bike_type;price_per_hour;available;production_date
1;shoddy;what whether posh;ROAD;32083.16;true;2026-06-11
2;ready;secrecy;ELECTRIC;30116.37;true;2026-06-11
3;webbed meager;zowie abaft;ROAD;25182.39;false;2026-06-11
4;which outset although;suitcase quicker opposite;ELECTRIC;25133.6;true;2026-06-11
5;stack;integer that meanwhile;MOUNTAIN;17598.65;true;2026-06-11
6;now;nearly;ROAD;22772.78;true;2026-06-11
7;boo lest creak;oxidise pharmacopoeia ugh;ROAD;20531.68;false;2026-06-11
8;meaningfully;aside;ROAD;1577.26;true;2026-06-11
9;upright questioningly foot;notwithstanding break;MOUNTAIN;14360.07;true;2026-06-11
10;until bah towards;since;MOUNTAIN;21884.44;false;2026-06-11
11;promptly ah;hm;ROAD;25985.16;true;2026-06-11
12;flawless step;emergent recklessly zowie;MOUNTAIN;12561.14;true;2026-06-11
13;frizz restfully;inside up maroon;CITY;3419.47;false;2026-06-11
14;gadzooks swerve;sudden vacantly;MOUNTAIN;14519.84;true;2026-06-11
15;daintily anti anxiously;beautifully mockingly reservation;MOUNTAIN;7660.17;false;2026-06-11
16;emphasize barring;above;MOUNTAIN;13486.01;true;2026-06-11
17;as;longingly;CITY;30769.13;false;2026-06-11
18;frantically ignorant drat;gah unfortunate;ELECTRIC;23122.21;false;2026-06-11
19;grumpy yet consequently;behind dishonor;ELECTRIC;12474;false;2026-06-11
20;puzzled confused;costume fat fair;ROAD;2305.95;true;2026-06-11
21;which;illustrious trash once;ELECTRIC;21087.9;false;2026-06-11
22;lock;midst joshingly;ELECTRIC;21142.68;true;2026-06-11
23;mmm gee;pfft;CITY;10876.36;false;2026-06-11
24;breed arrogantly;aw;ROAD;64.4;true;2026-06-11
25;rule ignite;whoever;ELECTRIC;22750.79;true;2026-06-11
26;whereas dutiful;terrorise;CITY;10892.7;false;2026-06-11
27;wilted tightly;wing;CITY;24811.36;false;2026-06-11
28;nor mmm;gee;ROAD;2874.95;false;2026-06-11
29;however function median;opposite;CITY;17352.02;false;2026-06-11
30;psst whoa extricate;dead of;ELECTRIC;30580.11;true;2026-06-11
