id;name;description
1;uh-huh inasmuch until;failing basic
2;antelope;uh-huh
3;pish aha pessimistic;rationalize after solidly
4;though straw;coagulate reward
5;hence;taut writhing nor
6;pfft;fearless sweetly rarely
7;given zesty even;where
8;woot incidentally gallery;upon disinherit and
9;yearningly;unto for narrowcast
10;accelerator onto;pro
11;out barring perspire;mount
12;meh boo;phooey
13;psst;accelerator once
14;ack;likewise
15;unabashedly;livid garrote
16;now;kindly
17;swill;phooey quirkily
18;pish anenst when;considering decongestant
19;ah afore;provided
20;sometimes;mid deliquesce
21;coordination;than sunny floss
22;accurate;towards
23;what pause;yowza
24;sheathe infatuated frugal;determined kissingly degrease
25;since yowza;vulgarise except
26;oof vice deeply;gadzooks
27;down wire trusty;reschedule er er
28;word;bitterly carboxyl
29;at;after
30;hmph unit;hunt coop idealistic
